,color1,color2,color3,color4
43,#5c4c32,#d5cdca,#8c8278,#130200
44,#ffffff,#bebdc3,#74563a,#db9b51
45,#ffffff,#b8b09d,#695435,#0f0200
46,#777066,#cfc9b9,#2b2320,
47,#777066,#cfc9b9,#2b2320,
48,#dabca0,#241104,#86655d,
49,#dabca0,#241104,#86655d,
50,#8f9b77,#3c3626,#fdfdfd,
51,#8f9b77,#3c3626,#fdfdfd,
52,#f7f6f4,#12150c,#c7b08e,#816e46
53,#dfdfdd,#66615d,#000000,#cba278
54,#ffffff,#c5b68f,#352214,#81755b
55,#f9faff,#a88e91,#52151c,
56,#f9faff,#a88e91,#52151c,
57,#ffffff,#2d313d,#c4b49d,#8a5f46
58,#85807a,#000000,#c3bab3,#613f22
59,#dfdfdf,#868686,#312622,
60,#dfdfdf,#868686,#312622,
61,#9a9290,#5e5047,#ded9d5,
62,#9a9290,#5e5047,#ded9d5,
63,#cca07b,#4d2d18,#fffeff,#736564
